date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:08	693/693	---MC-	302	error ('Found')	text/html	date:Tue,%2024%20May%202022%2021:57:31%20GMT	https://ruub.dev/robots.txt		(from )
17:57:08	1562/1562	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2016:30:27%20GMT	https://ruub.dev/	C:/My%20Web%20Sites/wwwww/ruub.dev/index.html	(from )
17:57:09	2658/2658	---M--	200	added ('OK')	image/webp	etag:%22a62-61b62e86-16040a;;;%22	https://ruub.dev/favicon.webp	C:/My%20Web%20Sites/wwwww/ruub.dev/favicon.webp	(from https://ruub.dev/)
17:57:09	693/693	---MC-	302	error ('Found')	text/html	date:Tue,%2024%20May%202022%2021:57:31%20GMT	https://ruub.dev/%c3%a2%c2%80%c2%9chttps://ruub.dev%c3%a2%c2%80%c2%9d	C:/My%20Web%20Sites/wwwww/ruub.dev/%c3%a2%c2%80%c2%9chttps_/ruub.dev%c3%a2%c2%80%c2%9d	(from https://ruub.dev/)
17:57:09	693/693	---MC-	302	error ('Found')	text/html	date:Tue,%2024%20May%202022%2021:57:32%20GMT	https://ruub.dev/%c3%a2%c2%80%c2%9chttps://404.html	C:/My%20Web%20Sites/wwwww/ruub.dev/%c3%a2%c2%80%c2%9chttps_/404.html	(from https://ruub.dev/)
17:57:09	717/717	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20May%202022%2021:57:32%20GMT	https://ruub.dev/domain/ruub.dev	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/ruub.dev	(from https://ruub.dev/)
17:57:11	23323/23323	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2021:57:33%20GMT	https://ruub.dev/domain/ruub.dev/	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/ruub.dev/index.html	(from https://ruub.dev/)
17:57:11	1507/1507	---MCZ	200	added ('OK')	text/css	etag:W/%2289a-6259dc54-180234;gz%22	https://ruub.dev/domain/assets/css/style.css	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/assets/css/style.css	(from https://ruub.dev/domain/ruub.dev/)
17:57:11	1873/1873	---M-Z	200	added ('OK')	text/css	etag:%22751-627d9da6-180214;gz%22	https://ruub.dev/domain/ruub.dev/assets/config.css	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/ruub.dev/assets/config.css	(from https://ruub.dev/domain/ruub.dev/)
17:57:11	2658/2658	---M--	200	added ('OK')	image/webp	etag:%22a62-623383cb-180272;;;%22	https://ruub.dev/domain/ruub.dev/assets/media/favicon.webp	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/ruub.dev/assets/media/favicon.webp	(from https://ruub.dev/domain/ruub.dev/)
17:57:11	3180/3180	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c6c-61c3d3aa-180248;gz%22	https://ruub.dev/domain/assets/logo/dc.svg	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/assets/logo/dc.svg	(from https://ruub.dev/domain/ruub.dev/)
17:57:12	978/978	---M-Z	200	added ('OK')	image/svg+xml	etag:%223d2-61c7a6b4-18024d;gz%22	https://ruub.dev/domain/assets/logo/ig.svg	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/assets/logo/ig.svg	(from https://ruub.dev/domain/ruub.dev/)
17:57:12	2523/2523	---M-Z	200	added ('OK')	image/svg+xml	etag:%229db-61c3d3ac-180253;gz%22	https://ruub.dev/domain/assets/logo/ogu.svg	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/assets/logo/ogu.svg	(from https://ruub.dev/domain/ruub.dev/)
17:57:12	2813118/2813118	---M--	200	added ('OK')	audio/mpeg	etag:%222aecbe-62701cf5-180217;;;%22	https://ruub.dev/domain/ruub.dev/assets/media/audio.mp3	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/ruub.dev/assets/media/audio.mp3	(from https://ruub.dev/domain/ruub.dev/)
17:57:13	10691/10691	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2229c3-61c47cae-18023f;gz%22	https://ruub.dev/domain/assets/js/audio.js	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/assets/js/audio.js	(from https://ruub.dev/domain/ruub.dev/)
17:57:13	931/931	---M--	200	added ('OK')	image/png	etag:%223a3-61c3d3aa-18024a;;;%22	https://ruub.dev/domain/assets/logo/dot.png	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/assets/logo/dot.png	(from https://ruub.dev/domain/assets/css/style.css)
17:57:13	693/693	---MC-	302	error ('Found')	text/html	date:Tue,%2024%20May%202022%2021:57:36%20GMT	https://ruub.dev/domain/assets/logo/discord-icon-new-2021-seeklogo.com-4.eps	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/assets/logo/discord-icon-new-2021-seeklogo.com-4.eps	(from https://ruub.dev/domain/assets/logo/dc.svg)
17:57:13	1423964/1423964	---M--	200	added ('OK')	image/gif	etag:%2215ba5c-623383cb-180218;;;%22	https://ruub.dev/domain/ruub.dev/assets/media/bg.gif	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/ruub.dev/assets/media/bg.gif	(from https://ruub.dev/domain/ruub.dev/assets/config.css)
17:57:13	693/693	---MC-	302	error ('Found')	text/html	date:Tue,%2024%20May%202022%2021:57:36%20GMT	https://ruub.dev/domain/assets/logo/404.html	C:/My%20Web%20Sites/wwwww/ruub.dev/domain/assets/logo/404.html	(from https://ruub.dev/domain/assets/logo/dc.svg)
